document_id,clean_text,sentiment
255,"This Scorsese "" epic"" is mostly devoid of intensity and emotion. Surely the killings is perhaps the main part of this story- this was done poorly with zero sense of fear or dismay. This is surprising as Scorsese knows how to do a kill. Perhaps that was the point- to show it subtley like it was happening without anyone caring. I'm not convinced. I think this had to be handled better. I normally don't complain about long films but this felt long - mainly because I was bored. Too many sections laboured on. Also the investigation headed by Jesse Plemmons was not explained well ( how they were caught ) This was done much better in the superior Mississippi Burning 1988. The acting is good ( as you would expect) and some scenes and dialogue are worthy. Overall a disappointment.",positive
256,"Before seeing this movie, I thought I'd be good to check the non-spoiler reviews. Almost everyone was complaining meaningfully about the movie's length. And it was off-putting, I went to the theater yersterday with reservations. However...So, let's get to the point - is this movie too long? I personally believe it might be by around some 15 mins, but it did not bother me. You see, it's funny how people are saying they don't need constant action on screen to keep focus, etc., but when you get such an important subject, slow burn thriller and lots of dialogue, it's a problem all of a sudden. It's hypocrisy. If such an important subject was boring for y'all, sorry to say but you gotta work on your concentration issues. You can binge watch a series in a day but can't sit through a borderline masterpiece? Maybe we don't deserve anything good and Marvel stuff should just take over.Film is realistically 8.5/10, but due to absurd grades calling out the movie's length, I gave it a 10.Seriously people, stop moaning about the length. It's you. You're the entitled one. Being unable to sit through a great movie that lasts 3 and 26mins AND then complain later is more of a showint of your character. Weak. Be better.",positive
257,"Scorsese just cannot overcome his roots in double-crossing gangster movies and here he delivers one more instead of a movie dealing with the historical situation and context of Indian Osage.Too many elements of this overly long movie come directly from The Irishmen, Gangs of New York, Good Fellas, The Departed, etc. So much so that the significance of the Osage historical context is mainly buried and surfaces ornamentally only in the guise of the superficiality of Indian costumes and Indian looking characters.After 3.5 hours, little is known of the Osage Indians, nor all of the many characters, as they only come on as stereotyped villains, buffoons, grubby hands, depressed victims, good lawmen, bad lawmen, etc. It is a movie filled with carefully thought out camera shots, gunshots, scenic scenes, characters talking vacuously in their stereotypical character patois and mannerisms - most of the white men of the gangsterish flavour, most of the Indians of typical Indian flavour and no one seems to have a real solid human identity that one can get immersed with.I feel like I've just watched another long winded unoriginal gangster movie which merely BTW has Osage historical context as a backdrop.Just doesn't cut it to be a movie of any significance despite its purported historical importance and good cinematography ... it will probably be remembered more for its unnecessary length rather than anything else.",positive
258,"Don't get fooled by the director or the cast. Don't get fooled by the score either. It's 8.1 at the time of writing this but I assure you it will get down to no more than 7.5. This is a bad movie, plain and simple.The whole story is told in such a lackluster way that there is no drama to it. It's like reading a long (a very long) newspaper article from start to finish where everything is narrated in a factual and boring way. There is no stakes, no big question, no expectation and no rush. The characters are shrouded in no clouds of mystery and no one changes from start to finish.Went to watch it to in the cinema. Truly disappointing. I wasted my time, don't waste yours.",positive
259,"Another Masterpiece from the masterclass Film Maker Martin Scorsese. This is a Classic example of why Martin Scorsese is called the greatest filmmaker of the century.The Movie is about how and why Osage Nation (one of the Native American Tribe) people during 1920s suffered manipulation, fraud and numerous murders by outsiders eager to take over their wealth.There is not a single wasted minute. Each and every frame has purpose. A powerful and Dark Epic of love, Deception, Greed and Murder.Robert De Niro and Leonardo DiCaprio performance are unquestionable. They are indeed one of the greatest actors of the generation. Lily Gladstone performance was Phenomenal. She was terrific in her role. The rest of the Cast is humongous, and they were fantastic.Screenplay by both Eric Roth and Martin Scorsese was dazzling with Blazing pace. 3.5 Hours movie run time felt like 2.5 Hours. Editing by Thelma Schoonmaker was as usual Brilliant. Her editing style is a Master class on its own.This is the 10th Collaboration of Martin Scorsese and Robert De Niro with 50 years of filmography with each other.Music by Robbie Robertson was Fantastic. May he Rest in Peace (1943-2023)Story: 10/10
Screenplay: 10/10
Direction and Cinematography: 10/10
Editing: 10/10
Acting: 10/10.",positive
260,"Sometimes a master director, due to his previous filmmaking legacy, achieves an iconic status. By doing so he becomes such a powerful directorial voice, that any project they are interested in making, gets an immediate resounding attention from producers and audiences alike.Martin Scorsese is with a doubt one of the greatest directors in cinema history and it seems his latest masterpiece 'Killers of the Flower Moon' might be what 'Schindler's List' was for Steven Spielberg a form of deep internal healing, through diving in to very sensitive subject, which needs to be treated with upmost respect.It also happens due to Marty's status as a director that he can bend a rules a little of standards set forth by film industry and set a lengthy running time of 3h and 26 minutes.On a budget of $200 million the highest budget for biopic in history, this slow paced drama, might appeal to movie goers, which want to experience extremely well crafted filmmaking experience.Apparently in the early script draft Leonardo DiCaprio was originally supposed to play a different role, of an FBI agent investigating murders of native Indians, which had more crime thriller undertone to this project, making it have more commercialized appeal.Thankfully due to change of the interest in playing much more challenging character, with its moral ambiguity, he might have secured for himself an Oscar nomination, to say the least. You can see that he listens as a character letting the information effect him and not only waits for his turn to say his lines.In his portrayal of Ernest Burkhart DiCaprio gave up on his vanity, which Academy of Motion Pictures really likes and wears this front teeth dentals, which misshapes his mouth in to an unpleasant grim simular to Robert De Niro's character William Hale 32 degree Mason, which on one hand seems to be a moral backbone of his community, on the other might be the manipulative antagonist, which everyone should fear, as he creates '""Order out of Chaos"",...;) Although less flashy DeNiro's performance is one of the best in years.The premise of the film is simple:""When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery. ""As it is with period films attention to detail in terms of costume and production design is a must and I suspect nominations for Oscars will be given in both categories in March next year.Cinematography although lacking the usual 'bells and whistle's', so to speak is still beautiful in terms of composition and color correction making this film fit the period of 1920's to perfection. The dolly moves are less dynamic here then let's say in 'The Departed', but stylistically we still get the typical Scorsese signature camera moves, like the steady cam movements around the house, which introduces the environment ending on a actress, which plays the mother of the lead character. I did loved some off focus shots of fire, which esthetically look absolutely stunning. But considering the subject the picture coverage feels more reserved.You can see that Scorsese displays implacable respect for the subject letting the drama of the plot unfold, without over sensationalizing events, which less tasteful director might have gone towards a crime elements, turning towards thriller vs drama.As a minor criticism what can be mentioned is the fact that the running time of close to 3.5 hours the editor could have been more assertive in cutting some scenes down, considering that this film lacks a solid score and sound design, which often helps to engage audience and helps with pacing. It's not that there is no score, it just that it is put in the background opting for realism over emotional symphonies.As it is most scenes are dialog based, in todays world the audiences are use to being emotionally led by music or sound design. Without it it is very difficult to maintain viewers attention. I suspect however that the choice of minimizing impact of auditory stimulation, was done on purpose to enhance the overall respect for the subject, as well as believability to the period and sense of realism Scorsese wanted to achieve. Never the less better sound mix could have helped maintain audiences attention even better.As I decided to leave the best for last the minimalistic performance of Lily Gladstone might earn her Oscar nomination if not the Oscar itself.This struggling actress , finally got an opportunity to showcase very emotional yet internally subdued performance, which becomes a moral compass of the story.As the cinema screening was totally sold out this film is destined for awards and hopefully reasonable box office success.Is it a little too long? Perhaps, but judging by expression of the audience as they were
leaving the screening room, we all knew we saw something very special.An ambitious artistic collaboration, which again adds to the iconic status of Martin Scorsese filmography as a one of the greatest filmmakers of all time.",positive
261,"The true story of the Osage County murders as told through the lense of just one family. Arriving back from the war, Ernest Burkhart (Leonardo di Caprio) meets his greedy racist Uncle (Robert De Niro) who explains that all the oil on the land and hence the money is owned by Native Americans. His mission is to get white family members to marry into the oil rich families, kill the wives and inherit the family money. As a result, he agrees when Ernest falls in love with wealthy Mollie (Lily Gladstone) that he should marry her.Obviously with Scorsese at the helm directing a heartfelt expose of a truly dark page in US history, this was always going to be a good film, and of course it is. You do become completely absorbed in the story and watch in disbelief as the injustice and cruelty escalates. It is though at three and a half hours a considerable slog featuring eminently beautiful, compelling and soon forgotten scenes that merely labour the point no matter how well constructed. I can't help feel that few directors could have got away with a $200m budget for a 206 minute film.On the performance front, Di Caprio is excellent in an often bewildering, ambiguous role, De Niro, and possibly a touch overrated, is fine as the baddie, but it is Gladstone who really impresses, although the film, despite its length, doesn't seem to really give her room to grow.Overall then a compelling experience well made, telling an important story which you should catch - I did not though emerge in a state of grace from it partly because it rarely really got to me and once again it is far too long. I suggest if he wants to do this sort of thing again Scorsese should make a tv series like everyone else.",positive
262,"#KillersOfTheFlowerMoon is difficult to watch. It takes time to sink in that the cunning oppression of the indigenous people by the migrant and expansionist Whites has not passed even a hundred years. Though the story is told from the perspective of a White man of Italian origin, Maestro Scorsese, and the two main characters are of Italian origin as well (often giving the film a Godfather-esque flavour), abundant presence of indigenous actors and a leading lady locates the time and space of the narrative well. The three hour long film has quite a few 10-15 minutes long scenes with dialogues between two characters, but the charm of the actors and zero fluff writing makes it engrossing. The intensity of De Niro is such that one almost wishes for emancipation of the sinister character he plays. Di Caprio matches him scene for scene, and by virtue of the script, comes out a winner in the final scene. Lily Gladstone is a revelation and her nuanced act will be a top contender for the next Oscar. The background score by Robbie keeps the audience on the tenterhooks and rides the mood of the film for all the length.All in all, it's more than a film. It's a Masterclass in historical commentary and film making. And like all long classes, get a little saggy at places, but picks up well and leaves a long lasting impact.The sad part was the empty theatre. With the spectacle of Marvels or Mission Impossibles ruling the roost, a well told story from a master director too can't bring the people to the theatre. Tells a lot of the Insta reel groomed spectators of the current times.",positive
263,"Without doubt an important story to tell, and perhaps none other than Scorcese could have done it justice.Still, I feel the movie itself has many flaws. Even at 3 and a half hours runtime, I feel there are a few key missing scenes. And I'm not talking about instances of ""show, don't tell"", because I feel there are things that aren't even shown. For example, there are some relationships that are more important than what the movie lets you know, but then suddenly that relationship turns the entire movie around without notice. And vice versa, there are many scenes that should have been cut, as they have no significant impact to the story. It feels as if this is a story that someone is telling on a witness stand, and Scorcese decides to leave nothing out of it and also to not have any other accounts to fill in the blanks. The ending seems rushed too.All in all this is a powerful story that will stick with you for a long time. It truly shows the horrors of history and the power of greed. Even more importantly, it shows us how religion makes no difference in the morality of men. It is other, more powerful, forces that drives them, for good or bad.",positive
264,"Technically, the film is an exceptional masterpiece. No one can deny that. Scorsese is still so sharp which is unbelievable. The film is as good as it could be. There is no way to make the movie better and still stick to the gruesome and true story. The actors bring the movie to life, but does DiCaprio lack range?The movie is very true to the book it is based on. The research behind the book is absolutely incredible. No wonder the rights were expensive. But the fact that the film is so similar to the book is also the only problem I have with the film. The film flows like a non-fiction book and it becomes a little more like a history lesson than a feature film. This is more of a character and story study than most modern films which are usually plot driven. That everything works depends a lot on the fantastic acting.Gladstone is a great new face who shows a lot of emotion without doing too much. What a performance from her. De Niro is extraordinary and I had a hard time taking my eyes off him. DiCaprio was good as usual but I wasn't completely convinced.Before the movie started, I had him as the winner of the Oscar statuette. Most actors can only dream of a role like Ernest Burkhart and dream even more to be directed by the master of cinema. DiCaprio sinks into the character and does it phenomenally, but sometimes there slips through a bit of his usual tendencies that make the portrayal similar to much of what he has played before. Does he have somewhat limited range? Every time I see him, it's always DiCaprio I see. He doesn't have the chameleon skills of Denzel, who really lives his characters.One of the best films of the year and definitely something to watch if you like Scorsese. The film reeks of his style and it's perfectly crafted and directed. Sometimes you could smile because it was so perfect. Everything he does is literally perfect. No other director makes more than one perfect movie. This film deserves its long running time and doesn't feel completely impossible to work your way through. A film that tells an important and tragic story. This is something you will want to revisit many more times in the future.",positive
265,"This movie did not need to be so long, I would have enjoyed it a lot more if you took away an hour and a half of content. Can we bring back movies that are less than 2 hours?That is my main criticism of the movie other than that it was pretty good. It did feel very linear in its story telling but I still manged to enjoy it.The acting was really good, probably the best part of this movie and the sound design was pretty good too I enjoyed the continuous drumming throughout. There is a lot of good elements to the movie it just needed to be way shorter to be a more enjoyable watching experience.",positive
266,"People expect grandeur, but I want honesty. However, in Killers of the Flower Moon, Scorsese delivered generosity - for better and for worse.It is indisputable that Martin Scorsese's great rival in the 2023-24 awards season will be physicist J. Robert Oppenheimer. In the film that could win the director his second Oscar for best director, his biggest rival is his generosity, but let's not fool ourselves, Scorsese wins over his ""opponent"" here (while in the duel against Nolan's grandeur... Not yet there is nothing defined).The story presented throughout its 206 minutes of running time does not hide from its opening minutes that the fate of the Osage is destruction. Unlike the base book, the implosion of the indigenous people begins by being presented inconspicuously, gradually progressing to a long sequence of torture against the tribe, and then to a great conclusion of torture against the torturers. Scorsese is generous in explaining these long sequences in long acts, which makes the connection with the drama greater, at the same time as it makes it excruciating to see so much tragedy without mourning. Here the living cannot mourn their dead, because there is no time for that, the mourning denied to the characters is missing in the narrative of oppression.It's good to see that the director and co-writer is fully aware that this film doesn't belong to him, and he does a lot to apologize for it (with an exceptional metalinguistic sequence, by the way), but he doesn't do enough, since he is so generous with his apologies that he naturally takes the direction of the story for himself, and transforms a story about grief into a drama, as explained previously, but the same difference is that in the narrative that Scorsese constructed, the lack of this element It is for the benefit of other themes, which precisely enhance the film.It is these apparent mistakes that the director makes himself king (but not the King Hale) of his territory, this mistake of transforming a Lily Gladstone film into a DiCaprio and De Niro film is where he activates his most frantic and careful level of commitment to his work. He is honest with his generosity, and honest with his mistakes, never failing to deliver the awesomeness that his films always deliver. Here, with a tremendous period setting, with such incredible performances, an extraordinary sound work and original soundtrack and an adequate script in its interventions, a great film emerges. Killers of the Flower Moon deserves to go far, and it deserves to be watched. Not that Scorcese should deserve anything, but honestly, here he does.",positive
267,"""Killers of the Flower Moon"" (2023) grapples with a crucial and dark chapter in American history, but its pacing issues are evident. The first act lingers on for too long, and the storytelling feels drawn out, preventing the narrative from truly gaining momentum. Unfortunately, the predictability of the plot and the absence of necessary tension hinder the impact of the film. With a 3.5-hour runtime, the screenplay struggles to provide enough substance to justify the investment. This ambitious project somehow falls short of achieving its potential to be something truly epic, despite the brilliant performances delivered by Leonardo DiCaprio and Lily Gladstone.While ""Killers of the Flower Moon"" may not fully realize its potential, the film does have its merits. Leonardo DiCaprio and Lily Gladstone deliver outstanding performances, injecting depth and emotion into their respective roles. Their on-screen chemistry brings a genuine authenticity to the characters, making them one of the film's saving graces. However, despite these standout performances, the movie ultimately struggles to transcend its shortcomings. It fails to maintain the necessary tension and falls short of being a cinematic masterpiece. As a result, it leaves one questioning whether it truly does justice to the significant subject matter it attempts to tackle.",positive
268,"I went to this movie with zero expectation, I just read a few reviews that felt the movie was too long and ,,could have been told in 2 hours"".I actually wasn't bored and I think the movie was done really good. This is a very serious topic and I think it covered it well. Acting is also great. I don't think the music was that good but it had some rhythm throught the whole movie that I enjoyed.This movie is not for everybody, don't pull up in the cinema and expect some mcu type of fun because you are not getting any, the movie is very long and also sad.I can absolutely recommend this movie.",positive
269,"It is no easy feat to make a film about an atrocious but relatively little-known period in American history, the Osage murders in the early-to-mid-1920s in Oklahoma. But as every film lover knows, Martin Scorsese doesn't do ""easy."" He does ""great."" Scorsese has made a period Western crime epic that is exceptionally moving and insightful. It's a film deeply important in raising awareness of the historical injustices that have affected Native Americans while simultaneously being deeply rooted in compelling and character-driven storytelling.Scorsese's film is an adaptation of David Grann's book (which is also excellent, and I highly recommend reading it) of the same name. The film is quite long at 206 minutes, but the runtime never feels tedious or unnecessary. Every frame is meticulously shot and edited, and the film manages to show such a deep respect for the humanity of Osage people despite the brutal inhumanity they faced. The performances in the film are exceptional, especially the three most prominent characters (DiCaprio, Gladstone, and De Niro.) DiCaprio and De Niro are incredibly convincing, but it is Lilly Gladstone who elevates the film to the next level. She gives an extraordinarily emotional and moving performance that is a true master class in character development. The film also uses stunning production design to depict 1920s Oklahoma, and the film's soundtrack and score complement the tone and mood incredibly well too. Scorsese builds tension and drama incredibly effectively, often using shots that are both quick and wide and with greatly impactful results. The film also has a powerful conclusion that will be remembered by audiences.""Killers of the Flower Moon"" can be a bit of a hard watch at times due to its subject matter, but it's even harder to forget or not be genuinely impacted by. Do not miss this exceptional film. 10/10.",positive
270,"After reading the book I looked forward to the movie. I'm from Oklahoma and have friends appearing in the movie. (They were great, btw!)The movie mostly stayed true to the book but added in a lot of unnecessary backstory that only slowed it down. The fire scene was completely a waste of time.I would have liked to see more of Molly's efforts as described in the book, she doesn't seem integral to the movie except as a potential victim.I was really surprised to see di Caprio as Burkhart. He did a fair job but to achieve the jutting jaw of the actual Burkhart had to maintain a grimace throughout the movie. That was so apparently fake.A sickly child certainly was possible but again simply wastes time. The overall story drags. Very little of it is the investigation. That was a thrilling read and could have been so in the movie.Kudos to the Osage Nation for surviving and sharing their culture and story. I am so sorry!All this said I'd see it again--because it is relevant to me. I give it a 6.5, the acting was fine. It's the editing that needs help.",positive
271,"""Killers of the Flower Moon"" promises to be a compelling cinematic experience, as expected from a Martin Scorsese film. It explores the intriguing and tragic story of the Osage Indian tribe in Oklahoma, who became extraordinarily wealthy due to the oil reserves found under their lands in the 1920s. This newfound wealth, however, attracted greed and led to a horrifying series of murders, known as the Reign of Terror.The movie is exceptionally long, running for 3 hours and 30 minutes, but there's never a dull moment. The brilliance of the writing and screenplay ensures that the story remains engaging throughout.The film subtly yet effectively conveys the gruesome extent of the characters' greed. Their willingness to commit heinous acts for money is laid bare in innocent, casual discussions, revealing a disgusting and cruel agenda against the Osage people.Lily Gladstone's performance as Mollie Burkhart is nothing short of Oscar-worthy. She brings depth and layers to her character, painting a vivid image of a woman caught in the crossfire of avarice and violence. Her portrayal is nuanced and raw, a testament to her phenomenal acting prowess.Leonardo DiCaprio, known for his consistently exceptional performances, truly outdoes himself as Ernest Burkhart. His acting in this film is arguably his best since ""The Revenant"". As Ernest, he is both compelling and repelling, a character study in duality and moral bankruptcy.Robert De Niro is at his best as the intimidating William Hale. His charm is ever-present, but it's the fear he instills through his performance that truly stands out. He effortlessly projects power, making his character both intriguing and terrifying.Martin Scorsese, veteran filmmaker and master storyteller, weaves this tale with his trademark dynamism and boldness. His direction is both enraging and sobering, painting a picture that is deeply disturbing yet impossible to look away from.The strength of ""Killers of the Flower Moon"" is not found in dramatic acts of violence or intense, graphic visuals, but rather in the deep, poignant moments of quiet and the captivating narrative. Scorsese's strength lies in his ability to command the audience's attention through dialogues and characterization, and this film is a shining example of that.Scorsese's portrayal of the pivotal events in the history of America is commendable. He captures the culture and traditions of the Osage family with unstinting accuracy, ensuring the story's importance is not lost.However, the movie introduces a plethora of characters, which may initially seem overwhelming. This is understandable given the richness and grandeur of the story. Despite its long runtime, for those who connect with the movie, it's an experience that is superbly crafted and thoroughly immersive.""Killers of the Flower Moon"" is also a wonder of technical brilliance, with each element meticulously designed to construct a cinematic masterpiece. It resonates profoundly with engaged audiences, affirming that the film is indeed the product of a mater in filmmaking.THIS IS TRULY A CINEMA.",positive
272,"This epic film is watchable because it is very interesting. Unfortunately it is not that entertaining. I expected more from a Martin Scorsese film. The acting is superb ... Leonardo is wonderful (they all are) but Leonardo was on fire ... Branoesque.One feels the story of the Osage has been left untold for too long - 100 years. It is moving, unfair and horrid. Taking advantage of other's innocence and largesse is an uncomfortable human trait.The film is slow to start and really only ever picks up to a medium pace. It was pleasing to see the native Americans speaking like Americans and like some caricature.",positive
273,"STAR RATING: ***** Brilliant **** Very Good *** Okay ** Poor * Awful1920's, the south of America. The Osage Nation, a community of Native American residents, come into fortune when they strike oil on their patch of land, giving them ownership rights. Ernest Buckhart (Leonardo DiCaprio) arrives to stay with and work for his uncle, Bill Hale (Robert De Niro), a grandstanding figure in the community and reserve Deputy Sheriff, and soon finds himself embroiled in events over his head. As a series of Osage murders take place, with little investigation and no arrests, things take a turn when Ernest marries Osage girl Mollie (Lily Gladstone), and after her sister Anna (Cara Jade Myers) is killed, he is forced to search his soul to do the right thing.In the winter of his life and career, Martin Scorsese has his sights set on crafting his magnum opus, epic, ambitious tales large in scope and heavy in content, after 2019's similarly mammoth The Irishman, which you could watch at your leisure on Netflix, but now this three and a half hour effort has arrived in theatres, which however much of a Die Hard stalwart of the man you are, is something of a test to sit through. KOTFM sets itself off on unsteady footing, with an opening that doesn't really grab you in quite the dynamic way it could, and a lot of meaningless exposition that could reasonably be shed.That's not to say the story doesn't develop, and hold your attention just about all the way to the end. The film conveys a creeping, behind the scenes scandal unfolding, not the forefront placed, out in the open style Scorsese employs with his usual gangster films. It all just becomes a little overwhelming at times, however much depth it adds to the story. Performances wise, Scorsese has reunited with regular lead stars Di Caprio and De Niro, and they create a reliable, effective dynamic between each other, De Niro pulling off a fine Southern accent. In the third act, acting heavyweights Brendan Fraser and John Lithgow make a sudden appearance as rival lawyers, in a courtroom setting that is winkably reminiscent of the ending of GoodFellas.The final scene takes a surrealist turn, with a theatre production encroaching the events of the last several hours into a theatre production, with the director himself making an appearance, in a style reminiscent of a Spike Lee production. As it is, it's an overwhelming but still absorbing and powerful portrayal of a shameful chapter in American history. ****",positive
274,"I love Scorsese but I could not bare to endure the Irish man ( although I did end up finishing it over 2 days). That said, this movie does not drag quiet as much. It does have a great story line, great production and great acting, as many people say, but it does not have a comprehensible story arc. There is no plot, no protagonist, and the movie is an hour too long.I also feel like character development was missing because they were trying to deliver too much information.Did you really need to show us the court case and how that whole thing went down? The answer is no. You could've ended the movie at the time of the arrest, or before the court case.",positive
275,"Maybe I'm biased because I've lived on and off in Oklahoma my whole life. I really enjoyed seeing how the Native Americans and whites intermingled back then. Of course the whole story was utterly disgusting but it had a satisfying ending. I think DiCaprio did a great acting job. Loved the movie. I didn't even notice it was 3 hours long until I left and it was dark outside.I loved some of the characters so much. They were really interesting! Of course the subject matter was sad, but I'm so glad they made this movie illustrating what really happened.I really enjoyed the interactions between between.",positive
276,"Killers of the Flower Moon is a lenthgy dive into a incredibly engaging and horrifying true story. Scorsese plus let loose and the movie shows that freedom, in lenthg and some scenes. But what made Casino so special, what made Goodfellas so special, what made older movies of his special was the incredible editing and feeling of everything coming together, sadly that is missing here.Goodfellas is my all time favorite movie. So I just had to see this, in theaters. In a way it shares a lot of similarities to a typical mob movie Scorsese is experienced in. And it becomes more and more apparent. From the lowly simple ""kid"" from a war that comes back to a warming family that promises and promises, the ""don"" , uncle. It's all there pretty much. But I have to say again. The main failure of this movie to me was it's chaotic editing, it's lack of proper backstory on some characters, the pacing whilst it was steady, it never picked up enough to bump those final moments and exciting moments into a higher atmosphere. Afterwards and the way it starts and ends feel like this should've almost been a documentary. In a way it's a ""alternative"" I guess.Cinematography gets a shout out though, stunning looking movie.The acting is phenomenal, though not perfect from everyone. The ones that matter own it though. De Nero also seems to be into it. Nothing else to note.Music decent, though lots of use of silence throughout, again, coming back to that documentary aspect.I can definitely say it's a devisive movie. If you are into this story and know a little more behind it you'll love it and love the time it takes. But if you're here for a classic Scorsese movie, you'll be slightly let down. Man, I wish he cut this movie down at least 30 minutes to an hour, so much potential.",positive
277,"Lost for words to be honest.The story has a lot of potential, tho Scorsese doesn't get the message across.I get the feeling that this is a very American idea of self criticism, just without the actual criticism.You can't just throw some money around for big names in the industry and think this will guarantee succes.This movie is way, way, way, way, way...sorry, I dozed off again, too long to be in theaters. Maybe it was intended, but it feels more like a documentary than a movie.The long stretched shots are extremely boring and painful to watch.Me and my compagnon both fell asleep during this movie.There is little to nothing to stay interested.After what turned out to be 30 minutes of sleep, it turns out I could still pick up where I left. Didn't miss anything to understand the story or where it's headed.I kept waiting and waiting and waiting for something interesting to happen, but it never did. Even the ending isn't interesting.At some point I stopped caring all together, because I just wanted to leave.Don't be fooled by reviews of people praising this movie, there is nothing artistic I've missed, nothing to discover, it's just plain boring and that's that.Could have read the entire book while watching excruciatingly slow paced movie instead.I can definitely appreciate movies with not a lot going on, no bombastic exaggerations and such, but there needs to be at least a tiny bit of entertainment. Or at the very very least, it needs to grab and hold your attention. It's simply didn't have any of that. That's why I think this should be seen as a documentary rather than a film.",positive
278,"It seems a running time over three hours automatically spawns a rash of criticism along the lines of it's overlong, boring, director can't edit his films - from the tik tok generation who have the attention span of a gnat. Well this film is weighty enough to justify its running time. The casualness and banality of the evil it shows is just on another level, and it's played out masterfully by De Niro, Dicaprio and Gladstone. It's a truly harrowing and difficult movie to sit through, poking you in the eye with uncomfortable truths at every turn, about human deceit, greed, corruption, racism, power. It is beautifully shot, the score is effective but never up front and centre, and the story holds your attention from beginning to end. Scorcese has aged like fine wine, I truly believe this is perhaps his greatest movie. I can't say I will watch it again because it's just too uncomfortable, but it's a tour de force, a masterclass in filmmaking, and I am happy to counter the tik tok generation who couldn't sit through a 3 minute trailer without glancing at their smartphones.",positive
